Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Markaryd,10365,8.7,1076,10.4%,12,11.6,75.2%,63.8%,6146,5217, 1, 0, 0, 0, 0, 0, 1, 0, 2, 11, 6, 3,0.5,16.4,Kronoberg
Mellerud,9294,3.2,1002,10.8%,12,12.9,81.5%,62.3%,6119,4680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0,0.0,5.4,Västra Götaland
Mjölby,27889,3.9,2571,9.2%,37,13.3,87.4%,78.8%,19140,17265, 5, 2, 0, 3, 15, 7, 3, 7, 2, 8, 5, 6,1.2,4.7,Östergötland
Mora,20490,3.4,2314,11.3%,11,5.4,84.2%,73.1%,14012,12163, 5, 0, 3, 2, 0, 0, 1, 4, 4, 5, 5, 2,0.4,4.9,Dalarna
Motala,43636,7.1,4650,10.7%,54,12.4,86.2%,78.9%,29796,27297, 17, 6, 6, 5, 4, 3, 5, 10, 6, 18, 22, 9,0.4,9.2,Östergötland
Mullsjö,7355,0.0,569,7.7%,3,4.1,83.0%,70.4%,4757,4035, 0, 0, 2, 0, 1, 0, 2, 1, 2, 5, 0, 0,,6.8,Jönköping
Munkedal,10560,0.9,1089,10.3%,13,12.3,81.8%,71.1%,6862,5967, 6, 2, 0, 6, 1, 2, 1, 1, 1, 1, 1, 0,0.0,1.9,Västra Götaland
Munkfors,3721,0.0,235,6.3%,13,34.9,83.1%,76.3%,2531,2324, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,,0.0,Värmland
Mölndal,69981,7.1,8213,11.7%,71,10.1,83.3%,64.8%,45147,35116, 16, 6, 4, 7, 11, 15, 12, 27, 14, 21, 42, 8,0.2,9.0,Västra Götaland
Mönsterås,13312,2.3,1442,10.8%,23,17.3,81.9%,72.6%,8711,7723, 4, 2, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0,0.0,2.3,Kalmar
Mörbylånga,15429,5.8,1329,8.6%,9,5.8,88.7%,80.7%,10800,9828, 3, 12, 6, 4, 0, 1, 0, 0, 3, 0, 8, 1,0.1,5.2,Kalmar
Nacka,106169,9.0,12478,11.8%,167,15.7,84.1%,72.0%,67218,57533, 29, 17, 11, 16, 11, 32, 50, 64, 63, 71, 76, 20,0.3,13.8,Stockholm
Nora,10703,4.7,1012,9.5%,13,12.1,85.4%,79.4%,7277,6765, 2, 1, 2, 0, 0, 0, 0, 0, 6, 5, 3, 2,0.7,7.5,Örebro
Norberg,5725,1.7,537,9.4%,3,5.2,83.0%,74.9%,3825,3451, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 1, 0,0.0,5.2,Västmanland
Nordanstig,9489,3.2,917,9.7%,30,31.6,79.3%,71.1%,5996,5379, 1, 1, 0, 0, 0, 0, 0, 1, 3, 11, 2, 1,0.5,13.7,Gävleborg
Nordmaling,7099,4.2,492,6.9%,3,4.2,86.9%,74.4%,4994,4273, 9, 2, 1, 2, 3, 1, 0, 0, 0, 4, 2, 1,0.5,8.5,Västerbotten
Norrköping,143504,6.1,14163,9.9%,208,14.5,81.6%,68.2%,91835,76817, 44, 32, 23, 25, 11, 9, 12, 36, 42, 74, 71, 17,0.2,10.1,Östergötland
Norrtälje,63536,5.4,4722,7.4%,112,17.6,85.1%,73.0%,44227,37948, 4, 3, 0, 4, 8, 7, 15, 16, 32, 44, 27, 7,0.3,11.2,Stockholm
Norsjö,3946,7.6,228,5.8%,0,0.0,87.9%,77.5%,2806,2473, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 0,0.0,7.6,Västerbotten
Nybro,20259,4.4,1806,8.9%,13,6.4,81.5%,73.0%,13152,11782, 9, 2, 3, 0, 1, 0, 1, 1, 2, 1, 8, 1,0.1,4.4,Kalmar
Nykvarn,11217,9.8,1082,9.6%,15,13.4,84.4%,73.2%,7052,6118, 3, 2, 1, 0, 0, 2, 0, 5, 3, 2, 9, 2,0.2,9.8,Stockholm
Nyköping,57092,3.0,5569,9.8%,98,17.2,85.6%,76.0%,38382,34076, 20, 13, 9, 8, 8, 10, 7, 25, 23, 21, 15, 2,0.1,6.3,Södermanland
Nynäshamn,28784,8.3,2626,9.1%,45,15.6,79.1%,66.7%,18023,15194, 10, 2, 9, 9, 2, 5, 1, 6, 6, 10, 17, 7,0.4,9.4,Stockholm
Nässjö,31554,9.2,3797,12.0%,72,22.8,80.7%,70.4%,19694,17197, 21, 15, 25, 14, 12, 2, 2, 3, 11, 18, 25, 4,0.2,13.6,Jönköping
Ockelbo,5881,1.7,708,12.0%,8,13.6,81.9%,73.6%,3930,3533, 1, 2, 3, 1, 2, 0, 3, 0, 0, 0, 1, 0,0.0,1.7,Gävleborg
Olofström,13343,0.7,1159,8.7%,26,19.5,81.0%,69.2%,8754,7478, 3, 1, 1, 1, 0, 0, 0, 0, 5, 5, 1, 0,0.0,4.5,Blekinge
Orsa,6898,1.4,903,13.1%,14,20.3,81.0%,71.5%,4601,4061, 5, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1,,0.0,Dalarna
Orust,15255,5.2,1293,8.5%,14,9.2,84.2%,71.5%,10681,9068, 5, 1, 0, 5, 1, 2, 0, 2, 4, 15, 8, 0,0.0,15.1,Västra Götaland
Osby,13201,1.5,1086,8.2%,14,10.6,81.8%,71.7%,8548,7494, 0, 4, 2, 1, 1, 0, 0, 4, 0, 3, 1, 1,1.0,3.0,Skåne
Oskarshamn,27123,18.8,2795,10.3%,23,8.5,83.0%,72.8%,17952,15752, 6, 4, 0, 4, 4, 0, 6, 5, 3, 21, 45, 6,0.1,24.3,Kalmar
Ovanåker,11677,0.9,1341,11.5%,21,18.0,86.6%,78.8%,8141,7411, 20, 6, 1, 6, 1, 0, 0, 0, 0, 9, 1, 0,0.0,8.6,Gävleborg
Oxelösund,11986,3.3,1048,8.7%,30,25.0,85.5%,78.1%,8172,7463, 6, 1, 2, 0, 2, 0, 1, 1, 1, 4, 3, 1,0.3,5.8,Södermanland
Pajala,5974,0.0,347,5.8%,8,13.4,84.5%,74.9%,4173,3698, 4, 13, 28, 10, 8, 19, 17, 3, 0, 0, 0, 0,,0.0,Norrbotten
Partille,39498,8.1,5290,13.4%,44,11.1,81.5%,64.4%,24388,19268, 19, 18, 7, 13, 5, 7, 10, 17, 10, 14, 27, 5,0.2,10.4,Västra Götaland
Perstorp,7485,2.7,724,9.7%,12,16.0,74.5%,66.9%,4325,3885, 0, 0, 2, 6, 1, 1, 0, 0, 0, 0, 2, 0,0.0,2.7,Skåne
Piteå,42186,2.6,4597,10.9%,22,5.2,89.1%,70.5%,30276,23961, 38, 32, 26, 19, 9, 5, 7, 6, 6, 10, 11, 0,0.0,5.0,Norrbotten
Ragunda,5209,0.0,257,4.9%,3,5.8,83.5%,68.5%,3550,2912, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0,,0.0,Jämtland
Robertsfors,6759,7.4,337,5.0%,3,4.4,89.2%,73.0%,4807,3934, 4, 9, 2, 0, 0, 0, 0, 0, 11, 9, 5, 0,0.0,20.7,Västerbotten
Ronneby,29421,5.1,2171,7.4%,19,6.5,83.0%,73.7%,19132,16992, 16, 20, 13, 4, 7, 2, 0, 1, 10, 3, 11, 4,0.4,4.8,Blekinge
Rättvik,11028,3.6,850,7.7%,3,2.7,83.9%,76.0%,7770,7032, 8, 1, 3, 4, 4, 0, 3, 0, 3, 0, 4, 0,0.0,3.6,Dalarna
Sala,22859,5.7,2115,9.3%,31,13.6,84.1%,72.0%,15317,13111, 37, 8, 2, 1, 0, 1, 1, 3, 7, 13, 10, 3,0.3,10.1,Västmanland
Salem,16879,14.2,1868,11.1%,29,17.2,78.4%,67.6%,9837,8485, 2, 1, 1, 7, 2, 3, 4, 8, 8, 23, 19, 5,0.3,24.9,Stockholm
Sandviken,39309,5.3,4902,12.5%,56,14.2,84.5%,76.0%,26430,23791, 1, 1, 0, 2, 0, 0, 2, 11, 9, 11, 19, 2,0.1,7.6,Gävleborg
Sigtuna,49373,10.5,4748,9.6%,111,22.5,71.9%,59.2%,26933,22169, 33, 7, 9, 10, 6, 6, 7, 8, 21, 23, 36, 16,0.4,11.9,Stockholm
Simrishamn,19228,1.6,1386,7.2%,23,12.0,84.4%,76.0%,13663,12293, 11, 4, 0, 1, 0, 0, 1, 0, 4, 1, 3, 0,0.0,2.1,Skåne
Sjöbo,19394,4.1,1494,7.7%,8,4.1,79.6%,72.3%,12318,11187, 6, 2, 6, 4, 3, 3, 1, 2, 6, 5, 7, 1,0.1,6.2,Skåne
Skara,18725,15.5,1601,8.6%,26,13.9,81.6%,67.7%,12119,10062, 8, 5, 1, 0, 2, 0, 0, 5, 18, 13, 20, 9,0.5,17.6,Västra Götaland
Skellefteå,72846,3.7,8641,11.9%,82,11.3,87.2%,68.2%,50904,39776, 25, 7, 5, 5, 7, 3, 4, 1, 7, 27, 21, 6,0.3,6.6,Västerbotten
Skinnskatteberg,4373,11.4,299,6.8%,3,6.9,82.0%,73.5%,2951,2646, 2, 3, 0, 2, 0, 0, 0, 0, 0, 6, 5, 0,0.0,25.2,Västmanland
Skurup,16030,4.4,1828,11.4%,20,12.5,79.4%,70.6%,9962,8857, 14, 12, 4, 1, 1, 0, 4, 1, 3, 7, 6, 1,0.2,8.1,Skåne
Skövde,56800,6.3,5743,10.1%,94,16.5,81.8%,64.9%,36947,29333, 9, 17, 16, 12, 8, 7, 4, 10, 19, 19, 30, 6,0.2,8.6,Västra Götaland
Smedjebacken,10842,1.8,812,7.5%,11,10.1,85.5%,77.1%,7530,6787, 2, 3, 1, 1, 1, 2, 0, 0, 2, 4, 2, 0,0.0,5.5,Dalarna
Sollefteå,18900,2.6,1724,9.1%,55,29.1,83.7%,74.6%,12850,11453, 12, 3, 1, 0, 1, 0, 1, 0, 7, 2, 5, 0,0.0,3.7,Västernorrland
Sollentuna,73948,9.9,7915,10.7%,161,21.8,81.9%,71.1%,45732,39669, 9, 10, 10, 14, 11, 13, 24, 45, 60, 49, 56, 17,0.3,14.2,Stockholm
Solna,83293,8.0,9020,10.8%,136,16.3,79.4%,65.9%,54459,45209, 32, 15, 17, 15, 19, 27, 41, 51, 80, 77, 53, 14,0.3,15.6,Stockholm
Sorsele,2444,0.0,106,4.3%,0,0.0,86.7%,78.6%,1747,1582, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0,,4.1,Västerbotten
Sotenäs,9133,3.3,967,10.6%,9,9.9,87.7%,79.1%,6831,6160, 3, 3, 3, 3, 4, 7, 2, 3, 8, 2, 2, 1,0.5,4.4,Västra Götaland
Staffanstorp,25863,11.2,2751,10.6%,21,8.1,87.1%,79.6%,16566,15142, 22, 10, 9, 6, 1, 5, 2, 2, 8, 6, 19, 10,0.5,9.7,Skåne
Stenungsund,26977,5.2,3050,11.3%,9,3.3,82.6%,64.4%,17221,13417, 10, 7, 5, 4, 2, 3, 6, 0, 6, 11, 11, 3,0.3,8.2,Västra Götaland
Stockholm,977619,12.1,109652,11.2%,1764,18.0,79.5%,66.0%,621219,516183, 288, 189, 136, 169, 195, 309, 461, 595, 742, 910, 903, 279,0.3,18.5,Stockholm
Storfors,4007,5.0,194,4.8%,3,7.5,86.0%,80.5%,2822,2641, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 1,1.0,2.5,Värmland
Storuman,5832,0.0,478,8.2%,12,20.6,88.2%,79.2%,4227,3795, 3, 1, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0,,6.9,Västerbotten
Strängnäs,37158,4.0,3089,8.3%,27,7.3,84.8%,76.3%,24598,22139, 5, 5, 6, 6, 6, 2, 1, 8, 8, 18, 12, 3,0.3,8.1,Södermanland
Strömstad,13270,7.5,966,7.3%,7,5.3,82.4%,71.9%,8660,7562, 0, 0, 2, 0, 0, 1, 2, 6, 6, 6, 6, 4,0.7,9.0,Västra Götaland
Strömsund,11495,1.7,1094,9.5%,12,10.4,84.5%,77.8%,7925,7298, 2, 0, 0, 2, 3, 0, 0, 2, 3, 0, 1, 1,1.0,0.9,Jämtland
Sundbyberg,52667,13.9,5987,11.4%,98,18.6,75.8%,61.9%,31986,26119, 14, 10, 10, 10, 12, 19, 48, 35, 31, 43, 56, 17,0.3,18.8,Stockholm
Sundsvall,99437,4.8,11233,11.3%,137,13.8,86.1%,72.3%,67997,57109, 27, 13, 12, 17, 10, 9, 17, 14, 13, 28, 39, 9,0.2,6.7,Västernorrland
Sunne,13318,3.8,708,5.3%,12,9.0,89.2%,82.2%,9648,8889, 11, 5, 2, 9, 0, 0, 1, 9, 6, 7, 5, 0,0.0,9.0,Värmland
Surahammar,10100,6.9,1150,11.4%,11,10.9,81.4%,70.3%,6494,5608, 1, 3, 0, 0, 0, 0, 0, 6, 8, 8, 5, 2,0.4,12.9,Västmanland
Svalöv,14277,6.3,1496,10.5%,13,9.1,77.2%,68.4%,8446,7487, 11, 1, 2, 2, 0, 1, 0, 1, 1, 4, 6, 3,0.5,7.0,Skåne
Svedala,22690,7.1,2912,12.8%,14,6.2,83.6%,76.5%,13925,12734, 9, 6, 3, 1, 2, 2, 2, 1, 3, 14, 11, 5,0.5,11.0,Skåne
Svenljunga,10745,4.7,943,8.8%,9,8.4,79.6%,66.3%,6811,5676, 3, 2, 1, 1, 1, 2, 2, 0, 3, 0, 4, 1,0.3,3.7,Västra Götaland
Säffle,15444,0.6,1069,6.9%,3,1.9,87.1%,79.1%,10873,9872, 5, 5, 2, 1, 1, 2, 2, 2, 4, 3, 1, 0,0.0,2.6,Värmland
Säter,11147,0.9,884,7.9%,17,15.3,88.0%,80.5%,7827,7158, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0,0.0,0.9,Dalarna
Sävsjö,11720,1.7,1824,15.6%,27,23.0,77.7%,69.4%,7006,6257, 40, 24, 15, 5, 4, 2, 0, 0, 3, 1, 2, 0,0.0,2.6,Jönköping
Söderhamn,25582,2.7,2852,11.1%,90,35.2,83.7%,76.5%,17260,15776, 1, 0, 0, 3, 0, 1, 0, 7, 9, 1, 7, 0,0.0,3.1,Gävleborg
Söderköping,14614,4.8,1051,7.2%,14,9.6,88.2%,75.1%,10117,8610, 2, 2, 0, 2, 2, 1, 1, 3, 2, 7, 5, 2,0.4,8.2,Östergötland
Södertälje,100004,14.4,12177,12.2%,237,23.7,65.5%,55.0%,51011,42783, 28, 13, 9, 12, 13, 14, 30, 42, 67, 91, 106, 38,0.4,19.7,Stockholm
Sölvesborg,17425,5.2,1731,9.9%,17,9.8,84.2%,71.3%,11937,10117, 28, 26, 14, 7, 0, 2, 1, 0, 5, 7, 8, 1,0.1,8.6,Blekinge
Tanum,12904,2.3,1069,8.3%,14,10.8,86.3%,77.3%,9101,8148, 0, 0, 1, 4, 1, 1, 0, 1, 5, 4, 2, 1,0.5,4.6,Västra Götaland
Tibro,11256,8.0,1104,9.8%,24,21.3,79.1%,66.5%,7098,5965, 4, 4, 4, 1, 0, 0, 0, 0, 8, 7, 7, 2,0.3,12.4,Västra Götaland
Tidaholm,12833,0.8,1064,8.3%,19,14.8,84.5%,70.1%,8631,7160, 10, 5, 5, 8, 2, 0, 0, 1, 5, 5, 0, 1,,3.9,Västra Götaland
Tierp,21345,6.6,2211,10.4%,26,12.2,86.4%,77.3%,14606,13065, 12, 4, 0, 2, 0, 0, 1, 2, 2, 5, 10, 4,0.4,7.0,Uppsala
Timrå,17973,1.7,2027,11.3%,44,24.5,85.3%,71.9%,12239,10314, 2, 4, 0, 0, 3, 1, 2, 2, 1, 8, 2, 1,0.5,5.6,Västernorrland
Tingsryd,12387,1.6,839,6.8%,16,12.9,81.9%,71.0%,8208,7115, 9, 15, 5, 1, 0, 0, 4, 1, 1, 4, 2, 0,0.0,4.8,Kronoberg
Tjörn,16145,5.6,1494,9.3%,12,7.4,87.9%,73.9%,11413,9599, 8, 6, 8, 12, 3, 3, 2, 3, 3, 6, 8, 1,0.1,8.7,Västra Götaland
Tomelilla,13684,2.2,1167,8.5%,5,3.7,79.9%,72.2%,8726,7881, 12, 2, 1, 0, 0, 1, 0, 4, 1, 5, 3, 0,0.0,5.8,Skåne
Torsby,11545,0.9,575,5.0%,6,5.2,89.2%,83.8%,8597,8078, 0, 3, 2, 3, 1, 0, 1, 0, 1, 6, 1, 0,0.0,6.1,Värmland
Torsås,7140,1.4,401,5.6%,16,22.4,81.6%,73.4%,4714,4236, 3, 3, 2, 0, 0, 0, 0, 1, 0, 2, 1, 0,0.0,4.2,Kalmar
Tranemo,11868,5.9,1416,11.9%,17,14.3,81.5%,69.1%,7714,6534, 17, 4, 1, 1, 0, 1, 2, 1, 3, 7, 5, 2,0.4,10.1,Västra Götaland
Tranås,18908,38.6,1714,9.1%,12,6.3,84.9%,74.6%,12674,11136, 6, 4, 1, 4, 4, 6, 6, 1, 14, 12, 65, 8,0.1,40.7,Jönköping
Trelleborg,45855,9.6,5376,11.7%,66,14.4,80.2%,72.6%,28952,26202, 11, 4, 2, 9, 10, 10, 10, 26, 24, 17, 38, 6,0.2,12.0,Skåne
Trollhättan,59282,6.6,6835,11.5%,96,16.2,79.9%,61.7%,37037,28588, 27, 10, 6, 6, 5, 6, 8, 15, 17, 24, 30, 9,0.3,9.1,Västra Götaland
Trosa,14237,4.9,1219,8.6%,13,9.1,85.2%,76.9%,9543,8606, 2, 0, 0, 3, 2, 0, 5, 4, 7, 3, 6, 1,0.2,6.3,Södermanland
Tyresö,48588,9.7,5494,11.3%,83,17.1,81.8%,70.2%,30211,25928, 9, 5, 6, 7, 6, 15, 23, 24, 38, 27, 36, 11,0.3,13.0,Stockholm
Täby,72632,7.8,8067,11.1%,108,14.9,87.7%,76.8%,48501,42460, 25, 25, 10, 9, 11, 15, 28, 24, 36, 59, 46, 11,0.2,14.5,Stockholm
Töreboda,9256,8.6,764,8.3%,13,14.0,79.5%,67.4%,5963,5056, 5, 2, 0, 2, 2, 0, 0, 0, 2, 2, 7, 1,0.1,9.7,Västra Götaland
Uddevalla,56833,6.7,6426,11.3%,87,15.3,82.2%,68.7%,36546,30545, 21, 19, 20, 10, 3, 22, 20, 12, 18, 32, 32, 6,0.2,11.3,Västra Götaland
Ulricehamn,24694,5.7,2614,10.6%,32,13.0,82.7%,69.9%,16216,13697, 10, 6, 3, 0, 0, 3, 3, 3, 4, 6, 10, 4,0.4,6.5,Västra Götaland
Umeå,130248,11.9,10219,7.8%,47,3.6,88.4%,65.1%,91749,67651, 57, 32, 27, 45, 22, 25, 34, 46, 205, 190, 143, 12,0.1,25.6,Västerbotten
Upplands Väsby,47194,10.8,4866,10.3%,113,23.9,75.9%,63.8%,27588,23196, 14, 5, 3, 10, 17, 3, 14, 12, 29, 32, 38, 13,0.3,14.8,Stockholm
Upplands-Bro,30097,11.6,3003,10.0%,48,15.9,75.3%,61.8%,17058,14015, 6, 9, 4, 6, 8, 11, 13, 15, 20, 19, 26, 9,0.3,15.0,Stockholm
Uppsala,233745,5.1,25074,10.7%,281,12.0,86.1%,72.7%,160315,135317, 79, 48, 24, 29, 42, 50, 64, 67, 88, 98, 103, 17,0.2,8.6,Uppsala
Uppvidinge,9503,4.2,1069,11.2%,11,11.6,77.6%,65.6%,5812,4916, 4, 4, 3, 3, 0, 1, 0, 1, 0, 0, 4, 0,0.0,4.2,Kronoberg
Vadstena,7440,0.0,777,10.4%,9,12.1,90.4%,83.4%,5589,5156, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,,0.0,Östergötland
Vaggeryd,14483,4.8,1767,12.2%,17,11.7,79.5%,70.9%,8823,7868, 4, 2, 0, 2, 1, 0, 0, 3, 1, 1, 7, 0,0.0,5.5,Jönköping
Valdemarsvik,7737,1.3,424,5.5%,16,20.7,86.0%,75.3%,5491,4808, 1, 0, 0, 2, 6, 2, 0, 1, 0, 1, 0, 1,,1.3,Östergötland
Vallentuna,34127,5.0,3530,10.3%,27,7.9,83.8%,71.3%,21378,18170, 14, 8, 4, 2, 4, 14, 13, 23, 31, 29, 15, 2,0.1,12.9,Stockholm
Vansbro,6807,0.0,873,12.8%,15,22.0,82.7%,74.7%,4581,4137, 23, 23, 20, 4, 0, 0, 0, 0, 3, 10, 0, 0,,14.7,Dalarna
Vara,16045,4.4,965,6.0%,18,11.2,82.2%,69.3%,10561,8910, 4, 4, 0, 0, 1, 0, 0, 1, 3, 11, 6, 1,0.2,10.6,Västra Götaland
Varberg,65279,7.8,8436,12.9%,69,10.6,87.2%,77.4%,45107,40045, 16, 7, 13, 11, 7, 10, 11, 19, 26, 19, 39, 12,0.3,8.9,Halland
Vaxholm,11875,4.2,1226,10.3%,7,5.9,88.1%,76.8%,8016,6993, 5, 4, 1, 3, 4, 11, 8, 4, 7, 6, 4, 1,0.3,8.4,Stockholm
Vellinge,36888,7.9,4234,11.5%,46,12.5,88.4%,82.6%,24911,23260, 14, 2, 5, 3, 2, 12, 20, 18, 35, 31, 25, 4,0.2,15.2,Skåne
Vetlanda,27502,3.6,3004,10.9%,63,22.9,83.5%,71.1%,18054,15383, 14, 9, 6, 7, 0, 1, 2, 1, 3, 2, 8, 2,0.3,3.6,Jönköping
Vilhelmina,6549,1.5,229,3.5%,3,4.6,83.9%,66.0%,4461,3509, 0, 0, 0, 0, 0, 0, 2, 1, 2, 4, 1, 0,0.0,7.6,Västerbotten
Vimmerby,15657,8.3,1758,11.2%,26,16.6,83.5%,72.4%,10461,9071, 1, 2, 1, 0, 0, 1, 0, 4, 4, 6, 11, 2,0.2,10.9,Kalmar
Vindeln,5478,7.3,254,4.6%,3,5.5,86.0%,72.5%,3747,3158, 0, 2, 0, 0, 0, 0, 0, 1, 0, 9, 4, 0,0.0,23.7,Västerbotten
Vingåker,9153,1.1,542,5.9%,18,19.7,85.0%,78.5%,6154,5683, 2, 0, 1, 0, 0, 0, 0, 0, 3, 1, 1, 0,0.0,2.2,Södermanland
Vårgårda,11906,7.6,1092,9.2%,12,10.1,80.8%,65.4%,7469,6047, 4, 3, 2, 0, 0, 0, 2, 1, 4, 2, 9, 0,0.0,9.2,Västra Götaland
Vänersborg,39611,4.0,3547,9.0%,75,18.9,83.5%,68.4%,25952,21266, 19, 5, 1, 3, 2, 5, 4, 3, 2, 14, 13, 3,0.2,6.8,Västra Götaland
Vännäs,8980,11.1,461,5.1%,3,3.3,87.5%,70.7%,6063,4897, 5, 3, 3, 4, 1, 1, 0, 1, 8, 9, 9, 1,0.1,20.0,Västerbotten
Värmdö,45393,7.0,4435,9.8%,76,16.7,83.9%,71.2%,29069,24674, 3, 2, 1, 2, 9, 15, 24, 19, 36, 32, 25, 7,0.3,12.6,Stockholm
Värnamo,34540,10.4,4420,12.8%,47,13.6,82.4%,71.8%,22407,19522, 34, 20, 12, 9, 2, 2, 0, 3, 3, 21, 33, 3,0.1,15.6,Jönköping
Västervik,36602,4.9,3464,9.5%,46,12.6,87.0%,78.9%,25998,23594, 2, 3, 1, 0, 0, 0, 1, 10, 4, 4, 17, 1,0.1,5.7,Kalmar
Västerås,155574,10.7,16587,10.7%,221,14.2,82.0%,69.2%,100127,84569, 55, 33, 18, 13, 8, 14, 24, 57, 104, 117, 140, 27,0.2,16.5,Västmanland
Växjö,94796,5.8,11806,12.5%,134,14.1,81.4%,62.5%,60369,46358, 137, 59, 44, 40, 20, 32, 44, 29, 30, 26, 46, 9,0.2,7.6,Kronoberg
Ydre,3732,5.4,362,9.7%,3,8.0,87.0%,78.5%,2636,2378, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0,0.0,5.4,Östergötland
Ystad,30914,4.2,3456,11.2%,13,4.2,86.6%,78.8%,21852,19879, 7, 20, 14, 2, 1, 1, 2, 0, 3, 9, 7, 6,0.9,5.2,Skåne
Åmål,12440,4.8,772,6.2%,22,17.7,85.1%,74.7%,8501,7466, 4, 3, 0, 1, 2, 1, 0, 0, 0, 1, 5, 1,0.2,4.8,Västra Götaland
Ånge,9268,0.0,903,9.7%,27,29.1,86.6%,73.8%,6593,5623, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0,,0.0,Västernorrland
Åre,11981,0.8,1207,10.1%,9,7.5,81.9%,66.0%,7751,6253, 1, 1, 0, 1, 1, 1, 1, 2, 0, 5, 1, 0,0.0,5.0,Jämtland
Årjäng,10017,2.0,849,8.5%,8,8.0,85.0%,78.0%,6896,6326, 3, 6, 4, 5, 0, 3, 5, 5, 2, 1, 1, 1,1.0,2.0,Värmland
Åsele,2797,3.6,186,6.6%,3,10.7,87.8%,84.4%,2025,1948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0,0.0,7.2,Västerbotten
Åstorp,16028,2.5,1950,12.2%,18,11.2,72.4%,63.1%,8703,7586, 13, 8, 3, 3, 1, 0, 1, 4, 10, 4, 4, 0,0.0,5.0,Skåne
Åtvidaberg,11414,0.9,885,7.8%,11,9.6,89.0%,79.9%,8181,7345, 3, 2, 1, 1, 1, 1, 0, 4, 2, 2, 0, 1,,1.8,Östergötland
Älmhult,17901,2.8,1522,8.5%,39,21.8,81.1%,66.9%,11023,9090, 6, 4, 7, 1, 0, 0, 1, 2, 11, 3, 5, 0,0.0,4.5,Kronoberg
Älvdalen,7034,0.0,606,8.6%,3,4.3,83.9%,79.3%,4826,4561, 0, 0, 0, 0, 0, 2, 0, 1, 2, 3, 0, 0,,4.3,Dalarna
Älvkarleby,9518,0.0,1220,12.8%,37,38.9,86.7%,77.6%,6497,5820, 3, 4, 1, 3, 2, 0, 1, 0, 0, 1, 0, 0,,1.1,Uppsala
Älvsbyn,8042,0.0,916,11.4%,5,6.2,83.8%,67.2%,5471,4389, 5, 6, 15, 9, 1, 0, 0, 0, 1, 0, 0, 0,,0.0,Norrbotten
Ängelholm,42868,7.5,5045,11.8%,55,12.8,84.1%,77.0%,28581,26179, 8, 3, 2, 4, 14, 5, 8, 15, 9, 19, 23, 9,0.4,9.8,Skåne
Öckerö,12948,4.6,1258,9.7%,11,8.5,85.4%,71.0%,8795,7306, 5, 1, 1, 1, 5, 1, 3, 10, 3, 2, 3, 3,1.0,3.9,Västra Götaland
Ödeshög,5324,3.8,482,9.1%,13,24.4,83.6%,76.1%,3565,3245, 2, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1,1.0,3.8,Östergötland
Örebro,156517,7.2,18530,11.8%,167,10.7,82.4%,75.7%,101229,92984, 60, 24, 20, 24, 26, 17, 26, 51, 49, 100, 92, 20,0.2,12.3,Örebro
Örkelljunga,10428,6.7,930,8.9%,14,13.4,74.4%,66.0%,6180,5483, 4, 1, 1, 0, 0, 0, 1, 2, 2, 2, 4, 3,0.8,5.8,Skåne
Örnsköldsvik,55862,2.3,7475,13.4%,73,13.1,88.3%,77.3%,39041,34202, 8, 2, 1, 10, 3, 0, 6, 11, 14, 21, 11, 2,0.2,5.7,Västernorrland
Östersund,63987,5.3,5763,9.0%,63,9.8,84.6%,71.7%,43041,36490, 20, 2, 8, 2, 8, 2, 5, 6, 6, 24, 31, 3,0.1,8.6,Jämtland
Österåker,46585,8.4,4709,10.1%,61,13.1,85.3%,73.1%,30278,25955, 9, 5, 10, 7, 5, 9, 15, 20, 38, 31, 18, 21,1.2,10.5,Stockholm
Östhammar,22212,3.2,1879,8.5%,34,15.3,89.5%,80.4%,16091,14458, 10, 8, 2, 1, 3, 0, 0, 2, 0, 2, 6, 1,0.2,3.6,Uppsala
