Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Eksjö,17794,6.2,2136,12.0%,35,19.7,84.5%,75.0%,11950,10599, 20, 16, 15, 7, 3, 0, 1, 0, 3, 8, 10, 1,0.1,10.1,Jönköping
Emmaboda,9382,1.1,794,8.5%,3,3.2,80.1%,71.4%,6049,5391, 0, 0, 0, 0, 0, 5, 23, 2, 3, 1, 1, 0,0.0,2.1,Kalmar
Enköping,46176,8.2,4828,10.5%,73,15.8,86.5%,76.1%,31135,27375, 12, 17, 8, 7, 5, 4, 7, 5, 6, 29, 32, 6,0.2,13.2,Uppsala
Eskilstuna,107061,6.4,10013,9.4%,165,15.4,80.8%,70.6%,67080,58596, 30, 21, 10, 23, 20, 14, 10, 29, 40, 46, 62, 6,0.1,10.1,Södermanland
Eslöv,34088,11.4,3843,11.3%,28,8.2,80.0%,69.7%,21013,18299, 42, 19, 13, 2, 4, 11, 9, 2, 3, 9, 25, 14,0.6,10.0,Skåne
Essunga,5681,3.5,404,7.1%,7,12.3,81.6%,67.2%,3683,3033, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0,0.0,3.5,Västra Götaland
Fagersta,13286,18.1,1622,12.2%,15,11.3,79.7%,69.7%,8301,7255, 11, 8, 0, 2, 0, 0, 0, 1, 5, 15, 23, 1,0.0,28.6,Västmanland
Falkenberg,46002,8.0,5246,11.4%,44,9.6,83.8%,75.9%,30638,27734, 11, 9, 12, 8, 3, 2, 5, 14, 25, 40, 29, 8,0.3,15.0,Halland
Falköping,33290,7.8,3196,9.6%,51,15.3,81.2%,68.0%,20986,17570, 16, 3, 2, 3, 9, 4, 11, 5, 7, 9, 23, 3,0.1,9.6,Västra Götaland
Falun,59537,7.2,5595,9.4%,63,10.6,87.6%,75.5%,41024,35363, 16, 6, 2, 4, 4, 2, 2, 2, 14, 30, 32, 11,0.3,10.4,Dalarna
Filipstad,10536,10.4,537,5.1%,14,13.3,84.8%,78.7%,7197,6681, 2, 0, 0, 0, 1, 0, 0, 0, 3, 1, 10, 1,0.1,10.4,Värmland
Finspång,21794,6.9,1729,7.9%,29,13.3,84.9%,72.7%,14782,12647, 8, 1, 3, 0, 0, 0, 4, 7, 8, 8, 13, 2,0.2,9.6,Östergötland
Flen,16468,0.6,1248,7.6%,28,17.0,81.7%,74.6%,10698,9777, 2, 1, 0, 0, 1, 0, 4, 4, 4, 3, 1, 0,0.0,2.4,Södermanland
Forshaga,11492,3.5,689,6.0%,9,7.8,89.3%,81.8%,7989,7314, 14, 6, 2, 9, 3, 0, 0, 1, 1, 0, 3, 1,0.3,2.6,Värmland
Färgelanda,6672,7.5,696,10.4%,6,9.0,83.0%,62.6%,4421,3336, 2, 1, 0, 2, 1, 2, 0, 0, 0, 2, 5, 0,0.0,10.5,Västra Götaland
Gagnef,10376,14.5,841,8.1%,14,13.5,87.6%,77.9%,7043,6262, 0, 1, 1, 1, 0, 2, 0, 1, 1, 4, 12, 3,0.3,15.4,Dalarna
Gislaved,29644,5.7,4412,14.9%,42,14.2,78.6%,69.6%,18124,16050, 8, 3, 4, 4, 2, 3, 2, 3, 3, 8, 14, 3,0.2,7.4,Jönköping
Gnesta,11378,7.0,942,8.3%,20,17.6,83.1%,73.7%,7396,6558, 4, 1, 1, 0, 0, 4, 1, 7, 4, 4, 7, 1,0.1,9.7,Södermanland
Gnosjö,9609,5.2,1530,15.9%,14,14.6,79.8%,69.6%,5950,5193, 2, 3, 1, 0, 0, 0, 0, 0, 0, 2, 5, 0,0.0,7.3,Jönköping
Gotland,60050,10.2,4121,6.9%,43,7.2,87.6%,73.7%,42934,36160, 20, 6, 11, 3, 5, 5, 11, 46, 96, 86, 35, 26,0.7,20.1,Gotland
Grums,9029,7.8,617,6.8%,4,4.4,86.6%,78.7%,6322,5746, 6, 10, 6, 1, 1, 1, 1, 1, 2, 10, 7, 0,0.0,18.8,Värmland
Grästorp,5708,0.0,432,7.6%,5,8.8,85.5%,72.2%,3944,3328, 1, 4, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0,,1.8,Västra Götaland
Gullspång,5204,1.9,478,9.2%,3,5.8,80.0%,71.2%,3445,3067, 0, 2, 0, 1, 2, 5, 1, 1, 1, 1, 1, 0,0.0,3.8,Västra Götaland
Gällivare,17472,0.6,2052,11.7%,37,21.2,87.0%,71.0%,12465,10172, 37, 36, 15, 12, 2, 1, 0, 2, 1, 3, 1, 0,0.0,2.3,Norrbotten
Gävle,102827,4.1,14507,14.1%,184,17.9,83.0%,73.3%,67727,59839, 13, 8, 5, 18, 12, 17, 16, 19, 30, 29, 28, 14,0.5,5.5,Gävleborg
Göteborg,583151,9.3,72049,12.4%,857,14.7,75.9%,56.1%,354992,262380, 179, 85, 62, 103, 105, 164, 243, 267, 266, 373, 432, 109,0.3,13.8,Västra Götaland
Götene,13189,1.5,1076,8.2%,5,3.8,83.9%,70.1%,8839,7382, 3, 3, 0, 0, 0, 2, 0, 0, 9, 4, 2, 0,0.0,4.5,Västra Götaland
Habo,12577,0.0,1383,11.0%,13,10.3,85.2%,74.8%,7674,6735, 8, 4, 2, 1, 0, 0, 2, 1, 0, 1, 0, 0,,0.8,Jönköping
Hagfors,11518,0.9,1082,9.4%,11,9.6,86.6%,78.8%,8387,7636, 1, 0, 2, 0, 1, 1, 9, 3, 0, 1, 0, 1,,0.9,Värmland
Hallsberg,16001,5.0,1600,10.0%,17,10.6,84.2%,79.5%,10507,9918, 7, 1, 1, 4, 7, 0, 1, 0, 0, 5, 6, 2,0.3,6.9,Örebro
Hallstahammar,16409,6.1,1412,8.6%,11,6.7,82.6%,69.6%,10681,9000, 0, 2, 12, 2, 3, 0, 2, 1, 10, 4, 8, 2,0.3,7.3,Västmanland
Halmstad,103672,9.6,13539,13.1%,102,9.8,82.6%,71.2%,67767,58401, 51, 14, 10, 30, 24, 22, 41, 49, 53, 59, 76, 24,0.3,13.0,Halland
Hammarö,16667,6.6,1246,7.5%,4,2.4,92.9%,85.8%,11491,10619, 45, 40, 22, 10, 4, 1, 2, 4, 6, 4, 9, 2,0.2,7.8,Värmland
Haninge,93370,11.6,10303,11.0%,163,17.5,73.1%,60.4%,52211,43164, 36, 7, 9, 19, 11, 15, 28, 36, 80, 91, 83, 25,0.3,18.6,Stockholm
Haparanda,9595,4.2,663,6.9%,13,13.5,81.4%,67.6%,6335,5259, 5, 8, 7, 0, 0, 0, 0, 1, 3, 7, 4, 0,0.0,11.5,Norrbotten
Heby,14048,5.0,1176,8.4%,15,10.7,86.3%,77.1%,9743,8709, 0, 1, 0, 0, 0, 0, 0, 2, 5, 1, 5, 2,0.4,4.3,Uppsala
Hedemora,15423,3.9,1430,9.3%,17,11.0,84.0%,78.1%,10456,9730, 5, 3, 3, 0, 0, 0, 1, 2, 1, 7, 4, 2,0.5,7.1,Dalarna
Helsingborg,149290,10.1,20160,13.5%,265,17.8,75.9%,66.0%,89051,77424, 74, 38, 22, 14, 22, 36, 35, 64, 51, 65, 120, 31,0.3,12.4,Skåne
Herrljunga,9453,5.3,794,8.4%,13,13.8,81.3%,70.8%,6176,5382, 12, 4, 0, 0, 4, 15, 2, 1, 2, 3, 4, 1,0.3,7.4,Västra Götaland
Hjo,9245,0.0,799,8.6%,10,10.8,84.9%,71.1%,6299,5275, 0, 7, 1, 8, 4, 1, 0, 2, 1, 0, 0, 0,,0.0,Västra Götaland
Hofors,9567,0.0,1368,14.3%,25,26.1,82.6%,73.3%,6418,5696, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0,,0.0,Gävleborg
Huddinge,113055,9.6,13543,12.0%,175,15.5,74.2%,61.9%,63369,52878, 22, 26, 10, 17, 13, 27, 42, 54, 87, 107, 89, 20,0.2,17.3,Stockholm
