Date,Deaths,7-Day Average
2020-11-12,28,28.4
2020-11-13,33,29.6
2020-11-14,38,31.1
2020-11-15,39,33.6
2020-11-16,37,33.9
2020-11-17,44,35.1
2020-11-18,50,38.4
2020-11-19,46,41.0
2020-11-20,45,42.7
2020-11-21,51,44.6
2020-11-22,59,47.4
2020-11-23,55,50.0
2020-11-24,68,53.4
2020-11-25,69,56.1
2020-11-26,60,58.1
2020-11-27,65,61.0
2020-11-28,50,60.9
2020-11-29,50,59.6
2020-11-30,67,61.3
2020-12-01,67,61.1
2020-12-02,71,61.4
2020-12-03,77,63.9
2020-12-04,70,64.6
2020-12-05,43,63.6
2020-12-06,81,68.0
2020-12-07,58,66.7
2020-12-08,54,64.9
2020-12-09,75,65.4
2020-12-10,86,66.7
2020-12-11,89,69.4
2020-12-12,68,73.0
2020-12-13,71,71.6
2020-12-14,94,76.7
2020-12-15,88,81.6
2020-12-16,102,85.4
2020-12-17,116,89.7
2020-12-18,71,87.1
2020-12-19,80,88.9
2020-12-20,94,92.1
2020-12-21,76,89.6
2020-12-22,93,90.3
2020-12-23,87,88.1
2020-12-24,88,84.1
2020-12-25,106,89.1
2020-12-26,94,91.1
2020-12-27,99,91.9
2020-12-28,121,98.3
2020-12-29,73,95.4
2020-12-30,90,95.9
2020-12-31,110,99.0
2021-01-01,87,96.3
2021-01-02,99,97.0
2021-01-03,83,94.7
2021-01-04,86,89.7
2021-01-05,93,92.6
2021-01-06,82,91.4
2021-01-07,103,90.4
2021-01-08,99,92.1
2021-01-09,89,90.7
2021-01-10,92,92.0
2021-01-11,89,92.4
2021-01-12,88,91.7
2021-01-13,91,93.0
2021-01-14,95,91.9
2021-01-15,90,90.6
2021-01-16,83,89.7
2021-01-17,61,85.3
2021-01-18,72,82.9
2021-01-19,92,83.4
2021-01-20,87,82.9
2021-01-21,88,81.9
2021-01-22,59,77.4
2021-01-23,64,74.7
2021-01-24,51,73.3
2021-01-25,59,71.4
2021-01-26,67,67.9
2021-01-27,54,63.1
2021-01-28,55,58.4
2021-01-29,58,58.3
2021-01-30,57,57.3
2021-01-31,39,55.6
2021-02-01,46,53.7
2021-02-02,43,50.3
2021-02-03,52,50.0
2021-02-04,30,46.4
2021-02-05,36,43.3
2021-02-06,33,39.9
2021-02-07,29,38.4
2021-02-08,39,37.4
2021-02-09,25,34.9
2021-02-10,27,31.3
2021-02-11,33,31.7
2021-02-12,28,30.6
2021-02-13,25,29.4
2021-02-14,28,29.3
2021-02-15,23,27.0
2021-02-16,22,26.6
2021-02-17,34,27.6
2021-02-18,17,25.3
2021-02-19,25,24.9
2021-02-20,29,25.4
2021-02-21,21,24.4
2021-02-22,25,24.7
2021-02-23,13,23.4
2021-02-24,26,22.3
2021-02-25,20,22.7
2021-02-26,18,21.7
2021-02-27,19,20.3
2021-02-28,25,20.9
2021-03-01,24,20.7
2021-03-02,23,22.1
2021-03-03,18,21.0
2021-03-04,19,20.9
2021-03-05,15,20.4
2021-03-06,12,19.4
2021-03-07,17,18.3
2021-03-08,24,18.3
2021-03-09,20,17.9
2021-03-10,21,18.3
2021-03-11,15,17.7
2021-03-12,19,18.3
2021-03-13,19,19.3
2021-03-14,22,20.0
2021-03-15,21,19.6
2021-03-16,15,18.9
2021-03-17,19,18.6
2021-03-18,18,19.0
2021-03-19,11,17.9
2021-03-20,25,18.7
2021-03-21,18,18.1
2021-03-22,16,17.4
2021-03-23,14,17.3
2021-03-24,15,16.7
2021-03-25,22,17.3
2021-03-26,22,18.9
2021-03-27,19,18.0
2021-03-28,17,17.9
2021-03-29,23,18.9
2021-03-30,16,19.1
2021-03-31,23,20.3
2021-04-01,25,20.7
2021-04-02,22,20.7
2021-04-03,18,20.6
2021-04-04,14,20.1
2021-04-05,24,20.3
2021-04-06,13,19.9
2021-04-07,22,19.7
2021-04-08,22,19.3
2021-04-09,24,19.6
2021-04-10,11,18.6
2021-04-11,17,19.0
2021-04-12,16,17.9
2021-04-13,21,19.0
2021-04-14,28,19.9
2021-04-15,25,20.3
2021-04-16,14,18.9
2021-04-17,20,20.1
2021-04-18,16,20.0
2021-04-19,15,19.9
2021-04-20,26,20.6
2021-04-21,24,20.0
2021-04-22,16,18.7
2021-04-23,17,19.1
2021-04-24,13,18.1
2021-04-25,20,18.7
2021-04-26,11,18.1
2021-04-27,23,17.7
2021-04-28,21,17.3
2021-04-29,19,17.7
2021-04-30,16,17.6
2021-05-01,12,17.4
2021-05-02,12,16.3
2021-05-03,18,17.3
2021-05-04,13,15.9
2021-05-05,16,15.1
2021-05-06,10,13.9
2021-05-07,13,13.4
2021-05-08,19,14.4
2021-05-09,16,15.0
2021-05-10,22,15.6
2021-05-11,10,15.1
2021-05-12,11,14.4
2021-05-13,19,15.7
2021-05-14,24,17.3
2021-05-15,12,16.3
2021-05-16,13,15.9
2021-05-17,9,14.0
2021-05-18,9,13.9
2021-05-19,7,13.3
2021-05-20,12,12.3
2021-05-21,12,10.6
2021-05-22,9,10.1
2021-05-23,11,9.9
2021-05-24,4,9.1
2021-05-25,8,9.0
2021-05-26,9,9.3
2021-05-27,7,8.6
2021-05-28,8,8.0
2021-05-29,3,7.1
2021-05-30,8,6.7
2021-05-31,6,7.0
2021-06-01,1,6.0
2021-06-02,6,5.6
2021-06-03,6,5.4
2021-06-04,14,6.3
2021-06-05,3,6.3
2021-06-06,3,5.6
2021-06-07,5,5.4
2021-06-08,4,5.9
2021-06-09,7,6.0
2021-06-10,3,5.6
2021-06-11,1,3.7
2021-06-12,2,3.6
2021-06-13,0,3.1
2021-06-14,4,3.0
2021-06-15,2,2.7
2021-06-16,2,2.0
2021-06-17,1,1.7
2021-06-18,3,2.0
2021-06-19,2,2.0
2021-06-20,3,2.4
2021-06-21,2,2.1
2021-06-22,3,2.3
2021-06-23,0,2.0
2021-06-24,2,2.1
2021-06-25,2,2.0
2021-06-26,0,1.7
2021-06-27,0,1.3
2021-06-28,2,1.3
2021-06-29,1,1.0
2021-06-30,1,1.1
2021-07-01,1,1.0
2021-07-02,1,0.9
2021-07-03,2,1.1
2021-07-04,0,1.1
2021-07-05,0,0.9
2021-07-06,2,1.0
2021-07-07,0,0.9
2021-07-08,0,0.7
2021-07-09,0,0.6
2021-07-10,0,0.3
2021-07-11,1,0.4
2021-07-12,0,0.4
2021-07-13,0,0.1
2021-07-14,0,0.1
2021-07-15,1,0.3
2021-07-16,0,0.3
2021-07-17,1,0.4
2021-07-18,0,0.3
2021-07-19,0,0.3
2021-07-20,0,0.3
2021-07-21,1,0.4
2021-07-22,1,0.4
2021-07-23,1,0.6
2021-07-24,0,0.4
2021-07-25,0,0.4
2021-07-26,0,0.4
2021-07-27,0,0.4
2021-07-28,1,0.4
2021-07-29,2,0.6
2021-07-30,0,0.4
2021-07-31,0,0.4
2021-08-01,0,0.4
2021-08-02,0,0.4
2021-08-03,0,0.4
2021-08-04,0,0.3
2021-08-05,2,0.3
2021-08-06,3,0.7
2021-08-07,0,0.7
2021-08-08,2,1.0
2021-08-09,0,1.0
2021-08-10,1,1.1
2021-08-11,0,1.1
2021-08-12,1,1.0
2021-08-13,2,0.9
2021-08-14,1,1.0
2021-08-15,1,0.9
2021-08-16,0,0.9
2021-08-17,2,1.0
2021-08-18,1,1.1
2021-08-19,2,1.3
2021-08-20,1,1.1
2021-08-21,1,1.1
2021-08-22,2,1.3
2021-08-23,5,2.0
2021-08-24,5,2.4
2021-08-25,3,2.7
2021-08-26,1,2.6
2021-08-27,0,2.4
2021-08-28,1,2.4
2021-08-29,5,2.9
2021-08-30,3,2.6
2021-08-31,2,2.1
2021-09-01,2,2.0
2021-09-02,6,2.7
2021-09-03,3,3.1
2021-09-04,4,3.6
2021-09-05,6,3.7
2021-09-06,4,3.9
2021-09-07,4,4.1
2021-09-08,10,5.3
2021-09-09,8,5.6
2021-09-10,11,6.7
2021-09-11,4,6.7
2021-09-12,8,7.0
2021-09-13,8,7.6
2021-09-14,8,8.1
2021-09-15,8,7.9
2021-09-16,12,8.4
2021-09-17,7,7.9
2021-09-18,3,7.7
2021-09-19,6,7.4
2021-09-20,4,6.9
2021-09-21,5,6.4
2021-09-22,10,6.7
2021-09-23,2,5.3
2021-09-24,3,4.7
2021-09-25,2,4.6
2021-09-26,4,4.3
2021-09-27,2,4.0
2021-09-28,2,3.6
2021-09-29,2,2.4
2021-09-30,1,2.3
2021-10-01,2,2.1
2021-10-02,1,2.0
2021-10-03,2,1.7
2021-10-04,0,1.4
2021-10-05,0,1.1
