Region,14-day change
Blekinge län,10.2
Dalarnas län,2.5
Gotlands län,-33.3
Gävleborgs län,-18.3
Hallands län,-30.5
Jämtlands län,-12.4
Jönköpings län,-15.8
Kalmar län,-10.6
Kronobergs län,20.3
Norrbottens län,-20.1
Skåne län,-1.3
Stockholms län,-10.1
Södermanlands län,-16.7
Uppsala län,-6.3
Värmlands län,-12.2
Västerbottens län,2.2
Västernorrlands län,-4.1
Västmanlands län,-3.8
Västra Götalands län,-13.3
Örebro län,-12.6
Östergötlands län,-8.1
