Region,ECDC Notification Rate
Stockholm,781.4
Östra Mellansverige,809.3
Småland med öarna,800.6
Sydsverige,526.6
Västsverige,812.1
Norra Mellansverige,829.0
Mellersta Norrland,812.7
Övre Norrland,558.4
