Kommun,Total Confirmed Cases,Total % of Population With Confirmed Infected
Trosa,1169,8.2%
Tyresö,5243,10.8%
Täby,7681,10.6%
Töreboda,700,7.6%
Uddevalla,6056,10.7%
Ulricehamn,2494,10.1%
Umeå,9150,7.0%
Upplands Väsby,4608,9.8%
Upplands-Bro,2819,9.4%
Uppsala,24028,10.3%
Uppvidinge,1038,10.9%
Vadstena,761,10.2%
Vaggeryd,1721,11.9%
Valdemarsvik,406,5.2%
Vallentuna,3330,9.8%
Vansbro,739,10.9%
Vara,922,5.7%
Varberg,8162,12.5%
Vaxholm,1145,9.6%
Vellinge,4026,10.9%
Vetlanda,2899,10.5%
Vilhelmina,217,3.3%
Vimmerby,1705,10.9%
Vindeln,233,4.3%
Vingåker,525,5.7%
Vårgårda,1033,8.7%
Vänersborg,3356,8.5%
Vännäs,393,4.4%
Värmdö,4215,9.3%
Värnamo,4136,12.0%
Västervik,3390,9.3%
Västerås,15778,10.1%
Växjö,11053,11.7%
Ydre,352,9.4%
Ystad,3337,10.8%
Åmål,747,6.0%
Ånge,886,9.6%
Åre,1173,9.8%
Årjäng,810,8.1%
Åsele,177,6.3%
Åstorp,1870,11.7%
Åtvidaberg,849,7.4%
Älmhult,1471,8.2%
Älvdalen,583,8.3%
Älvkarleby,1195,12.6%
Älvsbyn,864,10.7%
Ängelholm,4872,11.4%
Öckerö,1190,9.2%
Ödeshög,472,8.9%
Örebro,17783,11.4%
Örkelljunga,888,8.5%
Örnsköldsvik,7353,13.2%
Östersund,5513,8.6%
Österåker,4454,9.6%
Östhammar,1778,8.0%
Östra Göinge,1349,9.0%
Överkalix,320,9.7%
Övertorneå,211,5.0%
