Region,Notification Rate
Blekinge län,192
Dalarnas län,389
Gotlands län,184
Gävleborgs län,955
Hallands län,880
Jämtlands län,497
Jönköpings län,648
Kalmar län,455
Kronobergs län,324
Norrbottens län,771
Skåne län,424
Stockholms län,547
Södermanlands län,458
Uppsala län,403
Värmlands län,360
Västerbottens län,781
Västernorrlands län,337
Västmanlands län,327
Västra Götalands län,618
Örebro län,439
Östergötlands län,406
